,cow_name,side_length_shoulderbone,side_f_girth,side_r_girth,rear_width,cow_pixels,sticker_pixels,weight
0,108_b4-3_142_F,949.9773681514733,470.3073463172779,908.1591270256552,334.53998266276034,696838,9020,142
1,171_b4-3_154_F,1033.6851551608934,498.90279614369774,998.9259231794919,328.09754647055803,845138,9895,154
2,387_b4-4_192_F,937.814480587712,429.4205397975276,819.1764156761351,305.00163933985664,596787,7319,192
3,450_b4-1_216_M,1207.3052638003364,549.0446247801722,1124.0640551142983,360.0222215363935,979846,9801,216
4,68_b4-3_131_M,1052.8865086038477,511.1917448472735,1110.2179966114763,292.00171232374646,781109,10356,131
5,274_b4-2_152_M,873.6131867136622,476.2152874488596,883.6164326222097,303.014851121195,660376,8317,152
6,247_b4-4_164_F,984.0492873835132,481.084192215874,957.8355808801425,369.02167957994016,763546,9675,164
7,4_b4-4_98_F,853.0070339686538,415.2360774306587,905.0447502748137,371.03369119259236,597666,7582,98
8,303_b4-4_177_F,938.4609741486323,456.2806154111744,981.2935340661326,345.0710071854777,711389,8005,177
9,459_b4-3_212_F,975.443488880827,471.05201411309133,815.049691736645,384.0833242930497,696815,6932,212
10,459_b4-3_212_F,975.443488880827,471.05201411309133,815.049691736645,384.0833242930497,696815,6932,212
11,414_b4-3_197_F,1172.4969083114888,516.0784824035973,996.0045180620417,440.00113636216895,922779,10913,197
12,450_b4-4_209_F,1138.2570008570121,542.4066740002376,1053.3209387456418,377.01193615056803,966243,9160,209
13,189_b4-3_158_F,1007.4765505955958,480.01666637732484,979.5902204493468,300.13496963866106,753530,8926,158
14,203_b4-1_152_M,1005.001990047781,493.0649044497083,963.3509225614516,430.4195627524381,763410,7840,152
15,319_b4-4_177_M,1045.3573551661652,479.0,1026.0394729248967,341.03665492143216,866645,10551,177
16,181_b4-1_148_F,920.228775903036,455.0010988997719,843.9016530378407,466.84044383493597,697975,8401,148
17,370_b4-2_183_F,1069.9107439408206,512.1181504301522,1032.4073808337482,376.03324321128844,840887,11135,183
18,328_b4-2_235_F,879.5112278987688,434.60901969471365,785.1630403935224,305.00655730656024,551558,5429,235
19,276_b4-2_117_F,1082.270298954933,497.19714399823334,1000.420411627032,307.001628660175,805328,13360,117
20,13_b4-4_101_F,940.3935346438745,472.5124336988393,983.0508633839859,295.3811097548386,709605,13296,101
21,327_b4-3_181_F,1083.1694234975432,477.0010482168776,973.2718017080326,339.42598604113977,776215,11527,181
22,236_b4-1_162_F,1008.2504649143485,465.38801015926487,917.0087240588281,351.00142449853394,751008,8927,162
23,476_b4-3_222_F,923.9485916434961,406.59562220958554,924.0010822504485,355.00140844791025,544242,5694,222
24,345_b4-4_183_F,925.3377761660873,436.0045871318328,846.3994328920595,438.0011415510238,610923,6950,183
25,88_b4-2_204_M,1041.8493173199279,492.00101625911304,952.0257349462776,374.0053475553525,752306,9011,204
26,459_b4-4_212_F,1063.3428421727397,460.21299416683144,912.01425427457,367.0,730897,10025,212
27,371_b4-2_197_M,1110.6273002227165,530.0764095863916,1071.067224780966,376.02127599379264,871008,16526,197
28,420_b4-1_205_M,927.7629007456593,451.03990954238185,973.7812896128165,307.001628660175,664888,8178,205
29,57_b4-4_124_F,843.8915807140156,401.06109260310956,858.524315322519,365.0,549015,7021,124
30,109_b4-1_126_F,946.1638335933159,480.2051644870138,874.2064973448779,319.15670132397344,728151,7920,126
31,252_b4-2_190_F,1106.3837489768187,521.2772774637314,1083.6664616015391,340.177894637497,845377,11421,190
32,339_b4-3_183_M,997.2527262434533,524.0085877158884,950.013157803617,271.0461215365385,790360,11252,183
